Size:181, Duration(usec):14106531
Size:288, Duration(usec):20237040
Size:2, Duration(usec):4168534
Size:11, Duration(usec):1851440
Size:11, Duration(usec):20236452
Size:1, Duration(usec):4702871
Size:12, Duration(usec):14105253
Size:4, Duration(usec):14104736
Size:314, Duration(usec):4166715
Size:1, Duration(usec):4701743
Size:223, Duration(usec):7813546
Size:184, Duration(usec):7813450
Size:168, Duration(usec):20234438
Size:1, Duration(usec):14103598
Size:675, Duration(usec):10293215
Size:11, Duration(usec):4165460
Size:11, Duration(usec):4700474
Size:167, Duration(usec):20233544
Size:170, Duration(usec):14102725
Size:181, Duration(usec):16285995
Size:95, Duration(usec):7811728
Size:3, Duration(usec):4164408
Size:542, Duration(usec):4699367
Size:3003, Duration(usec):16285317
Size:1, Duration(usec):1846797
Size:63, Duration(usec):20231998
Size:8, Duration(usec):4163561
Size:107, Duration(usec):10291090
Size:182, Duration(usec):10290964
Size:12, Duration(usec):20231587
Size:319, Duration(usec):14100766
Size:184, Duration(usec):10290742
Size:1, Duration(usec):7810266
Size:12, Duration(usec):14100510
Size:44, Duration(usec):4162740
Size:332, Duration(usec):7809903
Size:171, Duration(usec):16283905
Size:95, Duration(usec):7809201
Size:2, Duration(usec):4696998
Size:597, Duration(usec):20230130
Size:3, Duration(usec):4161470
Size:3, Duration(usec):1844433
Size:198, Duration(usec):20229334
Size:26, Duration(usec):7392440
Size:428, Duration(usec):10288492
Size:287, Duration(usec):20229049
Size:269, Duration(usec):7807639
Size:286, Duration(usec):20228540
Size:295, Duration(usec):4695147
Size:11, Duration(usec):4695078
Size:213, Duration(usec):7391377
Size:319, Duration(usec):16281028
Size:135, Duration(usec):14096912
Size:124, Duration(usec):20227577
Size:218, Duration(usec):20227488
Size:3, Duration(usec):7806294
Size:800, Duration(usec):16280260
Size:270, Duration(usec):4693881
Size:279, Duration(usec):16280017
Size:354, Duration(usec):1841539
Size:12, Duration(usec):16279695
Size:121, Duration(usec):7805368
Size:1, Duration(usec):14095645
Size:745, Duration(usec):7805066
Size:10, Duration(usec):10285259
Size:323, Duration(usec):10285140
Size:325, Duration(usec):14094961
Size:309, Duration(usec):14094899
Size:9655, Duration(usec):3373339
Size:101, Duration(usec):7804364
Size:1, Duration(usec):10284064
Size:961, Duration(usec):16277471
Size:12, Duration(usec):7387464
Size:12, Duration(usec):7803014
Size:27, Duration(usec):16277093
Size:2, Duration(usec):4690722
Size:177, Duration(usec):14093084
Size:112, Duration(usec):7386947
Size:123, Duration(usec):4690476
Size:156, Duration(usec):20223613
Size:2, Duration(usec):14092764
Size:2, Duration(usec):7801986
Size:61, Duration(usec):7386207
Size:150, Duration(usec):16275977
Size:3, Duration(usec):20222704
Size:218, Duration(usec):7801362
Size:185, Duration(usec):3369958
Size:11, Duration(usec):7385114
Size:964, Duration(usec):14091113
Size:183, Duration(usec):3369428
Size:2, Duration(usec):7800382
Size:1, Duration(usec):20221289
Size:3, Duration(usec):4687903
Size:319, Duration(usec):10280339
Size:2, Duration(usec):3368626
Size:96, Duration(usec):7383931
Size:308, Duration(usec):4687064
Size:92, Duration(usec):7383142
Size:3, Duration(usec):3367608
Size:289, Duration(usec):4039426
Size:123, Duration(usec):14088710
Size:2, Duration(usec):7382566
Size:12, Duration(usec):10278578
Size:2, Duration(usec):7382254
Size:133, Duration(usec):20218978
Size:226, Duration(usec):20218893
Size:1, Duration(usec):4685435
Size:323, Duration(usec):7381424
Size:10, Duration(usec):14087249
Size:1, Duration(usec):16270912
Size:89, Duration(usec):10276849
Size:3, Duration(usec):14086337
Size:5, Duration(usec):7795775
Size:2, Duration(usec):30409553
Size:195, Duration(usec):7379859
Size:11, Duration(usec):7379777
Size:163, Duration(usec):7795256
Size:128, Duration(usec):16269268
Size:2, Duration(usec):30408806
Size:292, Duration(usec):7794791
Size:1, Duration(usec):4035617
Size:123, Duration(usec):7378828
Size:1, Duration(usec):7794335
Size:491, Duration(usec):10274509
Size:90, Duration(usec):7793914
Size:422, Duration(usec):10274255
Size:348, Duration(usec):4681662
Size:210, Duration(usec):30407537
Size:5, Duration(usec):16267721
Size:805, Duration(usec):4034454
Size:274, Duration(usec):7377651
Size:1, Duration(usec):30406900
Size:179, Duration(usec):7792198
Size:230, Duration(usec):20213069
Size:343, Duration(usec):7376100
Size:332, Duration(usec):7791599
Size:120, Duration(usec):4032451
Size:244, Duration(usec):4678913
Size:300, Duration(usec):4678737
Size:3, Duration(usec):16264937
Size:134, Duration(usec):10270998
Size:158, Duration(usec):4031486
Size:900, Duration(usec):20211453
Size:244, Duration(usec):16264285
Size:110, Duration(usec):30403980
Size:325, Duration(usec):7789663
Size:236, Duration(usec):16263616
Size:1, Duration(usec):4676973
Size:2, Duration(usec):16263104
Size:290, Duration(usec):30402789
Size:1, Duration(usec):16262926
Size:97, Duration(usec):4029552
Size:75, Duration(usec):4029454
Size:117, Duration(usec):10268792
Size:320, Duration(usec):7788220
Size:6, Duration(usec):4675919
Size:3305, Duration(usec):30401765
Size:172, Duration(usec):7372031
Size:304, Duration(usec):7371862
Size:264, Duration(usec):7787373
Size:2, Duration(usec):30401193
Size:2, Duration(usec):7787135
Size:146, Duration(usec):16261234
Size:7, Duration(usec):10267047
Size:3, Duration(usec):30400435
Size:118, Duration(usec):7786464
Size:10, Duration(usec):10266468
Size:8, Duration(usec):10266349
Size:10, Duration(usec):10266234
Size:169, Duration(usec):30399671
Size:237, Duration(usec):31351533
Size:110, Duration(usec):31351436
Size:2, Duration(usec):4026419
Size:2, Duration(usec):16259219
Size:1, Duration(usec):31350910
Size:12, Duration(usec):16258997
Size:3, Duration(usec):4025417
Size:161, Duration(usec):16258524
Size:299, Duration(usec):4671610
Size:236, Duration(usec):7367809
